Num_Topics,NPMI,Cv,Diversity
5,0.02530106213489406,0.4627747835063702,0.76
10,0.05066267810315269,0.5180873290160206,0.75
15,0.06363229801965067,0.5464094771684969,0.7133333333333334
20,0.061405271405634065,0.5388307118983925,0.63
25,0.06700118305936459,0.5573635875740836,0.612
30,0.06379160789809821,0.5496318077257007,0.6233333333333333
