Kategori,Keyword,Periode_Scrape,Sumber,Tanggal_Tayang,Judul,Link
Political,Badan Gizi Nasional,January 2025,Portal Informasi Indonesia,19 Jan 2025,Yuk Jadi Mitra Makan Bergizi Gratis,https://indonesia.go.id/kategori/kependudukan/8906/yuk-jadi-mitra-makan-bergizi-gratis?lang=1
Political,Badan Gizi Nasional,January 2025,Media Center Habaring Hurung,16 Jan 2025,Badan Gizi Nasional Jadwalkan Ulang Makan Gizi Gratis di Kotim,https://mediacenter.kotimkab.go.id/badan-gizi-nasional-jadwalkan-ulang-makan-gizi-gratis-di-kotim/
Political,Badan Gizi Nasional,January 2025,Voice of America Indonesia,19 Jan 2025,Badan Gizi Nasional Usul Tambahan Anggaran Rp100 Triliun untuk Program Makan Gratis,https://www.voaindonesia.com/a/badan-gizi-nasional-usul-tambahan-anggaran-rp100-triliun-untuk-program-makan-gratis/7942329.html
Political,Badan Gizi Nasional,January 2025,Pemprov Kepri,10 Jan 2025,Gubernur Ansar Ahmad Pimpin Rapat Pelaksanaan Program Makanan Bergizi Gratis (MBG),https://kepriprov.go.id/berita/gubernur/gubernur-ansar-ahmad-pimpin-rapat-pelaksanaan-program-makanan-bergizi-gratis-mbg
Political,Badan Gizi Nasional,January 2025,Pemerintah Provinsi Lampung,13 Jan 2025,"Pj. Sekdaprov Fredi SM Pimpin Rakor Pelaksanaan Program Makan Bergizi Gratis di Provinsi Lampung, yang Dihadiri Langsung oleh Satuan Pelayanan Pemenuhan Gizi dari Badan Gizi Nasional",https://biroadpim.lampungprov.go.id/detail-post/pj-sekdaprov-fredi-sm-pimpin-rakor-pelaksanaan-program-makan-bergizi-gratis-di-provinsi-lampung-yang-dihadiri-langsung-oleh-satuan-pelayanan-pemenuhan-gizi-dari-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,Pekanbaru.go.id,13 Jan 2025,DKP Pekanbaru Pastikan Keamanan Pangan di Dapur BGN Sidomulyo Barat,https://www.pekanbaru.go.id/p/news/dkp-pekanbaru-pastikan-keamanan-pangan-di-dapur-bgn-sidomulyo-barat
Political,Badan Gizi Nasional,January 2025,Pemerintah Kabupaten Kuantan Singingi,10 Jan 2025,"Buka Rakor Makan Bergizi Gratis, Bupati Kuansing Diwakili Pj Sekda Siap Sikapi Program Prioritas Presiden RI",https://kuansing.go.id/id/blog/buka-rakor-makan-bergizi-gratis-bupati-kuansing-diwakili-pj-sekda-siap-sikapi-program-prioritas-presiden-ri.html
Political,Badan Gizi Nasional,January 2025,Humas Provinsi Jawa Tengah,8 Jan 2025,"Tinjau Program Makan Bergizi Gratis Hari Ketiga, Pj Gubernur Ungkap Antusiasme para Siswa",https://humas.jatengprov.go.id/detail_berita_gubernur?id=9337
Political,Badan Gizi Nasional,January 2025,Kantor Staf Presiden,7 Jan 2025,Wakil Kepala Staf Kepresidenan M. Qodari Kick Off Program Makan Bergizi Gratis,https://www.ksp.go.id/wakil-kepala-staf-kepresidenan-m-qodari-kick-off-program-makan-bergizi-gratis.html
Political,Badan Gizi Nasional,January 2025,Badan Pengawas Obat dan Makanan,24 Jan 2025,"Sinergi BPOM dan BGN Wujudkan Generasi Sehat, Cerdas, dan Berkualitas Menuju Indonesia Emas",https://www.pom.go.id/berita/sinergi-bpom-dan-bgn-wujudkan-generasi-sehat-cerdas-dan-berkualitas-menuju-indonesia-emas
Political,Badan Gizi Nasional,January 2025,Tempo.co,23 Jan 2025,Kepala Badan Gizi Nasional Curhat Kurang Tidur karena Urus Makan Bergizi Gratis,https://www.tempo.co/ekonomi/kepala-badan-gizi-nasional-curhat-kurang-tidur-karena-urus-makan-bergizi-gratis-1198142
Political,Badan Gizi Nasional,January 2025,NU Online,18 Jan 2025,"Badan Gizi Butuh Tambahan 100 Triliun untuk 82,9 Juta Penerima MBG",https://nu.or.id/nasional/badan-gizi-butuh-tambahan-100-triliun-untuk-82-9-juta-penerima-mbg-BcJJ0
Political,Badan Gizi Nasional,January 2025,Kementerian Komunikasi dan Digital,25 Jan 2025,Kementerian Komunikasi dan Digital,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-untuk-rekrutmen-sppi-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,fakultas hukum umsu,11 Jan 2025,"Rekrutmen CPNS Badan Gizi Nasional, Simak Syaratnya",https://fahum.umsu.ac.id/blog/rekrutmen-cpns-badan-gizi-nasional-simak-syaratnya/
Political,Badan Gizi Nasional,January 2025,Pemerintah Kota Tanjungpinang,6 Jan 2025,"Perdana, Siswa SMPN 4 Tanjungpinang Antusias Nikmati Makan Bergizi Gratis",https://www.tanjungpinangkota.go.id/berita/perdana-siswa-smpn-4-tanjungpinang-antusias-nikmati-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Pemerintah Kota Palangka Raya,13 Jan 2025,Pemko Usulkan 13 SPPG Untuk Program Makan Bergizi Gratis,https://palangkaraya.go.id/pemko-usulkan-13-sppg-untuk-program-makan-bergizi-gratis/
Political,Badan Gizi Nasional,January 2025,CNBC Indonesia,17 Jan 2025,"2 Pekan MBG Berjalan, Prabowo Panggil Bos Badan Gizi Nasional",https://www.cnbcindonesia.com/news/20250117143202-4-604022/2-pekan-mbg-berjalan-prabowo-panggil-bos-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,Tribratanews Polda Bali,17 Jan 2025,"Tribratanews Polda Bali - *Kunjungan Kerja Direktur Badan Gizi Nasional (BGN) Bidang Pemantauan dan Pengawasan Wilayah III (Tiga), Kolonel Armed. Rudi Setiawan beserta Rombongan di Lokasi Dapur Sehat Kodim 1619/Tabanan.*",https://tribratanews.bali.polri.go.id/artikel/view/pb-549489-kunjungan-kerja-direktur-badan-gizi
Political,Badan Gizi Nasional,January 2025,RRI.co.id,15 Jan 2025,Badan Gizi Nasional Targetkan Bentuk 5.000 SPPG di Tahun 2025,https://rri.co.id/daerah/1256976/badan-gizi-nasional-targetkan-bentuk-5-000-sppg-di-tahun-2025
Political,Badan Gizi Nasional,January 2025,mpr.go.id,17 Jan 2025,"Tolak Zakat Untuk Danai Makan Bergizi Gratis, HNW: Jangan Campuradukkan, Sudah ada Peruntukannya Masing-Masing","https://mpr.go.id/berita/Tolak-Zakat-Untuk-Danai-Makan-Bergizi-Gratis,-HNW:-Jangan-Campuradukkan,-Sudah-ada-Peruntukannya-Masing-Masing"
Political,Badan Gizi Nasional,January 2025,Kompas.com,25 Jan 2025,"Bantah Minta Rp 100 Triliun untuk MBG, Kepala Badan Gizi: Presiden yang Tanya",http://nasional.kompas.com/read/2025/01/25/17283171/bantah-minta-rp-100-triliun-untuk-mbg-kepala-badan-gizi-presiden-yang-tanya
Political,Badan Gizi Nasional,January 2025,RRI.co.id,8 Jan 2025,Mengenal Badan Gizi Nasional Sebagai Penanggung Jawab MBG,https://rri.co.id/banda-aceh/olahraga/1242283/mengenal-badan-gizi-nasional-sebagai-penanggung-jawab-mbg
Political,Badan Gizi Nasional,January 2025,MetroTVNews.com,28 Jan 2025,Badan Gizi Nasional Bantah akan Memasukkan Menu Belalang dan Ulat Sagu,https://www.metrotvnews.com/read/NA0CEYRQ-badan-gizi-nasional-bantah-akan-memasukkan-menu-belalang-dan-ulat-sagu
Political,Badan Gizi Nasional,January 2025,Kompas.com,20 Jan 2025,Badan Gizi Nasional Targetkan 5 Juta Santri Terima Makan Bergizi Gratis,http://nasional.kompas.com/read/2025/01/20/17143351/badan-gizi-nasional-targetkan-5-juta-santri-terima-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Tempo.co,16 Jan 2025,"Pemilik Kantin Sekolah Mengeluh Kena Imbas Program Makan Bergizi Gratis, Ini Respons Kepala Badan Gizi Nasional",https://www.tempo.co/ekonomi/pemilik-kantin-sekolah-mengeluh-kena-imbas-program-makan-bergizi-gratis-ini-respons-kepala-badan-gizi-nasional-1195071
Political,Badan Gizi Nasional,January 2025,Tempo.co,20 Jan 2025,Badan Gizi Nasional Akan Survei Menu Favorit Siswa untuk Evaluasi Makan Bergizi Gratis,https://www.tempo.co/politik/badan-gizi-nasional-akan-survei-menu-favorit-siswa-untuk-evaluasi-makan-bergizi-gratis-1196370
Political,Badan Gizi Nasional,January 2025,BPKP,20 Jan 2025,Badan Pengawasan Keuangan dan Pembangunan,https://bpkp.go.id/id/berita/DNQO/presiden-prabowo-dorong-percepatan-program-makan-bergizi-gratis-di-indonesia
Political,Badan Gizi Nasional,January 2025,RRI.co.id,31 Jan 2025,Badan Gizi Nasional Tinjau Program MBG,https://rri.co.id/makan-bergizi-gratis/1293723/badan-gizi-nasional-tinjau-program-mbg
Political,Badan Gizi Nasional,January 2025,Tempo.co,18 Jan 2025,Alasan Badan Gizi Nasional Belum Teken MoU dengan BPOM untuk Program Makan Bergizi Gratis,https://www.tempo.co/politik/alasan-badan-gizi-nasional-belum-teken-mou-dengan-bpom-untuk-program-makan-bergizi-gratis-1195765
Political,Badan Gizi Nasional,January 2025,RRI.co.id,8 Jan 2025,Badan Gizi Nasional Luncurkan SPPG ke Sekolah,https://rri.co.id/makan-bergizi-gratis/1240848/badan-gizi-nasional-luncurkan-sppg-ke-sekolah
Political,Badan Gizi Nasional,January 2025,CNBC Indonesia,7 Jan 2025,Video: Buka-Bukaan Bos Badan Gizi Nasional Soal Target Program MBG,https://www.cnbcindonesia.com/news/20250107100133-8-601255/video-buka-bukaan-bos-badan-gizi-nasional-soal-target-program-mbg
Political,Badan Gizi Nasional,January 2025,Tempo.co,20 Jan 2025,Badan Gizi Nasional Akan Teken MoU Soal Makan Bergizi Gratis dengan BPOM Pekan ini,https://www.tempo.co/politik/badan-gizi-nasional-akan-teken-mou-soal-makan-bergizi-gratis-dengan-bpom-pekan-ini-1196340
Political,Badan Gizi Nasional,January 2025,Dinas Komunikasi dan Informatika Provinsi Jawa Timur,28 Jan 2025,Pemkab Jombang Siap Implementasikan Program Makan Bergizi Gratis,https://kominfo.jatimprov.go.id/berita/pemkab-jombang-siap-implementasikan-program-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,detikHealth,23 Jan 2025,"Teken MoU dengan Badan Gizi Nasional, BPOM RI Siap Amankan Program MBG",https://health.detik.com/berita-detikhealth/d-7746876/teken-mou-dengan-badan-gizi-nasional-bpom-ri-siap-amankan-program-mbg
Political,Badan Gizi Nasional,January 2025,Gerindra Sumut,17 Jan 2025,Rusydi Nasution Temui Kepala Badan Gizi Nasional Prof Dadan Hindayana Bahas Program Makan Bergizi Gratis di Padangsidimpuan,https://gerindrasumut.id/rusydi-nasution-temui-kepala-badan-gizi-nasional-prof-dadan-hindayana-bahas-program-makan-bergizi-gratis-di-padangsidimpuan/
Political,Badan Gizi Nasional,January 2025,MetroTVNews.com,15 Jan 2025,Badan Gizi Nasional Seleksi Calon Mitra untuk SPPG MBG,https://www.metrotvnews.com/read/bzGCRvn7-badan-gizi-nasional-seleksi-calon-mitra-untuk-sppg-mbg
Political,Badan Gizi Nasional,January 2025,RRI.co.id,13 Jan 2025,Dinas Dikbud Bukittinggi Benarkan Realisasi Makan Bergizi Gratis Ditunda oleh Badan Gizi Nasional terhadap Enam Sekolah,https://rri.co.id/bukittinggi/nasional/1252529/dinas-dikbud-bukittinggi-benarkan-realisasi-makan-bergizi-gratis-ditunda-oleh-badan-gizi-nasional-terhadap-enam-sekolah
Political,Badan Gizi Nasional,January 2025,detikNews,17 Jan 2025,Kepala BGN Sebut Prabowo Terusik karena Masih Ada Anak Belum Dapat MBG,https://news.detik.com/berita/d-7737679/kepala-bgn-sebut-prabowo-terusik-karena-masih-ada-anak-belum-dapat-mbg
Political,Badan Gizi Nasional,January 2025,detikNews,29 Jan 2025,Cak Imin Harap Badan Gizi Libatkan Banyak UMKM untuk Program MBG,https://news.detik.com/berita/d-7754490/cak-imin-harap-badan-gizi-libatkan-banyak-umkm-untuk-program-mbg
Political,Badan Gizi Nasional,January 2025,detikcom,26 Jan 2025,Kala Kepala BGN Sebut Serangga-Ulat Bisa Jadi Menu Makan Bergizi Gratis,https://www.detik.com/bali/berita/d-7750488/kala-kepala-bgn-sebut-serangga-ulat-bisa-jadi-menu-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,RRI.co.id,6 Jan 2025,Badan Gizi Nasional Perdana MBG di MIN 11 Aceh Barat,https://rri.co.id/makan-bergizi-gratis/1238069/badan-gizi-nasional-perdana-mbg-di-min-11-aceh-barat
Political,Badan Gizi Nasional,January 2025,detikNews,17 Jan 2025,Kepala BGN Ungkap Prabowo Minta Percepatan Makan Bergizi Gratis,https://news.detik.com/berita/d-7737552/kepala-bgn-ungkap-prabowo-minta-percepatan-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Fraksi PKS,29 Jan 2025,Aleg PKS Alifudin Minta Badan Gizi Nasional Berhati-hati Usulkan Serangga sebagai Lauk MBG,https://fraksi.pks.id/2025/01/29/aleg-pks-alifudin-minta-badan-gizi-nasional-berhati-hati-usulkan-serangga-sebagai-lauk-mbg/
Political,Badan Gizi Nasional,January 2025,detikFinance,16 Jan 2025,"Usulan APBD Ikut Biayai Makan Gratis, Bos Badan Gizi: Sangat Perlu!",https://finance.detik.com/berita-ekonomi-bisnis/d-7735039/usulan-apbd-ikut-biayai-makan-gratis-bos-badan-gizi-sangat-perlu
Political,Badan Gizi Nasional,January 2025,Waspada.id,15 Jan 2025,Badan Gizi Nasional Tinjau Dapur Mandiri MBG Di Sergai,https://www.waspada.id/sumut/badan-gizi-nasional-tinjau-dapur-mandiri-mbg-di-sergai/
Political,Badan Gizi Nasional,January 2025,Bogor Smart Health,9 Jan 2025,Peninjauan Pelaksanaan Program Makan Bergizi Gratis (MBG) di Kota Bogor,https://dinkes.kotabogor.go.id/berita/496
Political,Badan Gizi Nasional,January 2025,ANTARA Foto,15 Jan 2025,Kepala Badan Gizi Nasional kunjungan di Boyolali,https://www.antarafoto.com/id/view/2422706/kepala-badan-gizi-nasional-kunjungan-di-boyolali
Political,Badan Gizi Nasional,January 2025,Pemerintah Kota Cirebon,10 Jan 2025,Pj Wali Kota Pimpin Rapat Koordinasi Program Makan Bergizi Gratis,https://cirebonkota.go.id/pj-wali-kota-pimpin-rapat-koordinasi-program-makan-bergizi-gratis/
Political,Badan Gizi Nasional,January 2025,detikNews,25 Jan 2025,Kepala BGN: Susu Tak Diberikan Serentak di MBG karena 80% Masih Impor,https://news.detik.com/berita/d-7749470/kepala-bgn-susu-tak-diberikan-serentak-di-mbg-karena-80-masih-impor
Political,Badan Gizi Nasional,January 2025,ANTARA News,14 Jan 2025,Syarat pendaftaran ASN SPP Indonesia Badan Gizi Nasional,https://www.antaranews.com/berita/4583722/syarat-pendaftaran-asn-spp-indonesia-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,Media Indonesia,17 Jan 2025,Kepala Badan Gizi Nasional Usulkan Tambahan Rp100 triliun untuk MBG,https://mediaindonesia.com/humaniora/735424/kepala-badan-gizi-nasional-usulkan-tambahan-rp100-triliun-untuk-mbg
Political,Badan Gizi Nasional,January 2025,RRI.co.id,15 Jan 2025,Kepala Badan Gizi Nasional Dadan Hindayana Tinjau Program MBG Lanud Adi Soemarmo,https://rri.co.id/berita-foto/16895/kepala-badan-gizi-nasional-dadan-hindayana-tinjau-program-mbg-lanud-adi-soemarmo
Political,Badan Gizi Nasional,January 2025,SinPo.id,20 Jan 2025,"Selama Ramadan, Badan Gizi Nasional Siapkan MBG untuk Buka Puasa",https://sinpo.id/detail/89185/selama-ramadan-badan-gizi-nasional-siapkan-mbg-untuk-buka-puasa
Political,Badan Gizi Nasional,January 2025,detikNews,25 Jan 2025,Kepala BGN Buka Peluang Serangga Jadi Menu MBG di Daerah Tertentu,https://news.detik.com/berita/d-7749613/kepala-bgn-buka-peluang-serangga-jadi-menu-mbg-di-daerah-tertentu
Political,Badan Gizi Nasional,January 2025,RRI.co.id,10 Jan 2025,Pentingnya Pembentukan Badan Gizi Nasional di daerah,https://rri.co.id/kupang/daerah/1246672/pentingnya-pembentukan-badan-gizi-nasional-di-daerah
Political,Badan Gizi Nasional,January 2025,Tempo.co,20 Jan 2025,BKKBN Resmi Terlibat dalam Program Makan Bergizi Gratis: Suplai Data Ibu Hamil hingga Balita,https://www.tempo.co/politik/bkkbn-resmi-terlibat-dalam-program-makan-bergizi-gratis-suplai-data-ibu-hamil-hingga-balita-1196587
Political,Badan Gizi Nasional,January 2025,dinkes prov sulteng,16 Jan 2025,Program Makan Bergizi Gratis (MBG): Upaya Nasional Tingkatkan Kesehatan Masyarakat,https://dinkes.sultengprov.go.id/program-makan-bergizi-gratis-mbg-upaya-nasional-tingkatkan-kesehatan-masyarakat/
Political,Badan Gizi Nasional,January 2025,Media Indonesia,15 Jan 2025,Badan Gizi Nasional akan Talangi Biaya Mitra Kantin untuk MBG,https://mediaindonesia.com/humaniora/734671/badan-gizi-nasional-akan-talangi-biaya-mitra-kantin-untuk-mbg
Political,Badan Gizi Nasional,January 2025,Tempo.co,25 Jan 2025,Kepala BGN: Pembayaran Reimburse untuk Mitra Makan Bergizi Gratis Sudah Diproses,https://www.tempo.co/politik/kepala-bgn-pembayaran-reimburse-untuk-mitra-makan-bergizi-gratis-sudah-diproses-1198781
Political,Badan Gizi Nasional,January 2025,Tempo.co,29 Jan 2025,Kepala BGN Sebut Belalang dan Ulat Sagu Bisa Jadi Menu Makan Bergizi Gratis,https://www.tempo.co/politik/kepala-bgn-sebut-belalang-dan-ulat-sagu-bisa-jadi-menu-makan-bergizi-gratis-1200030
Political,Badan Gizi Nasional,January 2025,SinPo.id,17 Jan 2025,"Rapat dengan Kepala Badan Gizi Nasional, Prabowo Bahas Percepatan MBG",https://sinpo.id/detail/88993/rapat-dengan-kepala-badan-gizi-nasional-prabowo-bahas-percepatan-mbg
Political,Badan Gizi Nasional,January 2025,detikcom,27 Jan 2025,Sorotan Dokter Gizi di Balik Usulan Serangga Jadi Menu Makan Bergizi Gratis,https://www.detik.com/sulsel/berita/d-7751688/sorotan-dokter-gizi-di-balik-usulan-serangga-jadi-menu-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Merdeka.com,14 Jan 2025,Kepala Badan Gizi Nasional Janji Rangkul Kantin dan UMKM Terlibat Makan Bergizi Gratis Usai Dikeluhkan Pedagang,https://www.merdeka.com/jakarta/kepala-badan-gizi-nasional-janji-rangkul-kantin-dan-umkm-terlibat-makan-bergizi-gratis-usai-dikeluhkan-pedagang-278874-mvk.html
Political,Badan Gizi Nasional,January 2025,Media Indonesia,28 Jan 2025,Kepala Badan Gizi Nasional Bantah akan Masukkan Serangga dalam Program Makan Bergizi Gratis,https://mediaindonesia.com/humaniora/738619/kepala-badan-gizi-nasional-bantah-akan-masukkan-serangga-dalam-program-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,detikNews,20 Jan 2025,"Makan Bergizi Gratis Tetap Ada Saat Ramadan, Makanan Bisa Dibawa Pulang",https://news.detik.com/berita/d-7741421/makan-bergizi-gratis-tetap-ada-saat-ramadan-makanan-bisa-dibawa-pulang
Political,Badan Gizi Nasional,January 2025,RRI.co.id,31 Jan 2025,Tidak Ada Standar Menu Nasional dalam Program MBG,https://rri.co.id/makan-bergizi-gratis/1293741/tidak-ada-standar-menu-nasional-dalam-program-mbg
Political,Badan Gizi Nasional,January 2025,CNN Indonesia,15 Jan 2025,Bos Badan Gizi Buka Peluang Tambah Anggaran Makan Bergizi Gratis,https://www.cnnindonesia.com/ekonomi/20250114185509-92-1187145/bos-badan-gizi-buka-peluang-tambah-anggaran-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Suara Surabaya,15 Jan 2025,BGN: Seleksi Calon Mitra Satuan Pelayanan Pemenuhan Gizi Masih Berlangsung,https://www.suarasurabaya.net/kelanakota/2025/bgn-seleksi-calon-mitra-satuan-pelayanan-pemenuhan-gizi-masih-berlangsung/
Political,Badan Gizi Nasional,January 2025,Tempo.co,17 Jan 2025,"Kepala Badan Gizi Nasional soal Keracunan MBG di Sukoharjo: Tak Ada Pelanggaran SOP, Hanya Human Error",https://www.tempo.co/politik/kepala-badan-gizi-nasional-soal-keracunan-mbg-di-sukoharjo-tak-ada-pelanggaran-sop-hanya-human-error-1195490
Political,Badan Gizi Nasional,January 2025,Kompas.com,10 Jan 2025,Badan Gizi Sebut Program Makan Bergizi Gratis Akan Semakin Baik Seiring Waktu,http://nasional.kompas.com/read/2025/01/10/09151841/badan-gizi-sebut-program-makan-bergizi-gratis-akan-semakin-baik-seiring
Political,Badan Gizi Nasional,January 2025,detikFinance,17 Jan 2025,"Badan Gizi: Butuh Tambahan Rp 100 T Biayai Makan Gratis 82,9 Juta Penerima",https://finance.detik.com/berita-ekonomi-bisnis/d-7737468/badan-gizi-butuh-tambahan-rp-100-t-biayai-makan-gratis-82-9-juta-penerima
Political,Badan Gizi Nasional,January 2025,NU Online,20 Jan 2025,BGN Pastikan Program MBG di Sekolah dan Pesantren Tetap Terlaksana pada Ramadhan,https://www.nu.or.id/nasional/ketua-bgn-pastikan-program-mbg-di-sekolah-dan-pesantren-tetap-terlaksana-pada-ramadhan-iGer7
Political,Badan Gizi Nasional,January 2025,CNN Indonesia,22 Jan 2025,Bos Badan Gizi Beber Kelanjutan Komitmen Jepang-China Bantu Danai MBG,https://www.cnnindonesia.com/ekonomi/20250122184716-92-1190357/bos-badan-gizi-beber-kelanjutan-komitmen-jepang-china-bantu-danai-mbg
Political,Badan Gizi Nasional,January 2025,Muhammadiyah,31 Jan 2025,Muhammadiyah Tindak Lanjuti Kerjasama Program Makan Bergizi,https://muhammadiyah.or.id/2025/01/muhammadiyah-tindak-lanjuti-kerjasama-program-makan-bergizi/
Political,Badan Gizi Nasional,January 2025,Kompas.com,23 Jan 2025,Kepala BGN Mengaku Kurang Tidur Gara-gara Makan Bergizi Gratis,http://nasional.kompas.com/read/2025/01/23/19464661/kepala-bgn-mengaku-kurang-tidur-gara-gara-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,detikNews,25 Jan 2025,Kepala BGN Upayakan Modal MBG Tak Pakai Sistem Reimburse Lagi di Februari,https://news.detik.com/berita/d-7749822/kepala-bgn-upayakan-modal-mbg-tak-pakai-sistem-reimburse-lagi-di-februari
Political,Badan Gizi Nasional,January 2025,Merdeka.com,15 Jan 2025,"Menu Makanan Bergizi Gratis Muhammadiyah, Dipastikan Penuhi Standar Badan Gizi Nasional",https://www.merdeka.com/uang/menu-makanan-bergizi-gratis-muhammadiyah-dipastikan-penuhi-standar-badan-gizi-nasional-279891-mvk.html
Political,Badan Gizi Nasional,January 2025,Tempo.co,30 Jan 2025,Kepala BGN: Ada 230 SPPG Baru untuk Makan Bergizi Gratis Per Februari 2025,https://www.tempo.co/ekonomi/kepala-bgn-ada-230-sppg-baru-untuk-makan-bergizi-gratis-per-februari-2025-1200428
Political,Badan Gizi Nasional,January 2025,Kompas.com,25 Jan 2025,Badan Gizi: Serangga Bisa Jadi Protein Makan Bergizi Gratis di Daerah,http://nasional.kompas.com/read/2025/01/25/14290331/badan-gizi-serangga-bisa-jadi-protein-makan-bergizi-gratis-di-daerah
Political,Badan Gizi Nasional,January 2025,Epaper Media Indonesia,30 Jan 2025,"Ramadan, Makan MBG Dibawa Pulang",https://epaper.mediaindonesia.com/detail/ramadan-makan-mbg-dibawa-pulang
Political,Badan Gizi Nasional,January 2025,Inilah.com,15 Jan 2025,"Usai Karut Marut MBG, Badan Gizi Nasional Perintahkan SPPG Tutup Mulut",https://www.inilah.com/usai-karut-marut-mbg-badan-gizi-nasional-perintahkan-sppg-tutup-mulut
Political,Badan Gizi Nasional,January 2025,CNN Indonesia,17 Jan 2025,Badan Gizi Buka Suara soal Kasus Keracunan Makan Bergizi di Sukoharjo,https://www.cnnindonesia.com/ekonomi/20250117192327-92-1188498/badan-gizi-buka-suara-soal-kasus-keracunan-makan-bergizi-di-sukoharjo
Political,Badan Gizi Nasional,January 2025,Kompas.id,13 Jan 2025,Pelajar di Surabaya Gantikan Bekal dengan Makan Bergizi Gratis,https://www.kompas.id/artikel/pelajar-di-surabaya-gantikan-bekal-dengan-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Kompas.com,25 Jan 2025,"Bos Badan Gizi: Menyedihkan, 60 Persen Anak Indonesia Tidak Pernah Minum Susu",http://nasional.kompas.com/read/2025/01/25/16315401/bos-badan-gizi-menyedihkan-60-persen-anak-indonesia-tidak-pernah-minum-susu
Political,Badan Gizi Nasional,January 2025,ANTARA News,15 Jan 2025,BGN terus seleksi calon mitra untuk Satuan Pelayanan Pemenuhan Gizi,https://www.antaranews.com/berita/4585470/bgn-terus-seleksi-calon-mitra-untuk-satuan-pelayanan-pemenuhan-gizi
Political,Badan Gizi Nasional,January 2025,Tribratanews Polda Jabar,26 Jan 2025,KLARIFIKASI HOAX – FABRICATED CONTENT TAUTAN PENDAFTARAN CALON ASN SPP BADAN GIZI NASIONAL,https://tribratanews.jabar.polri.go.id/klarifikasi-hoax-fabricated-content-tautan-pendaftaran-calon-asn-spp-badan-gizi-nasional/
Political,Badan Gizi Nasional,January 2025,CNN Indonesia,17 Jan 2025,"Bos Badan Gizi Dipanggil Prabowo ke Istana, Evaluasi Makan Gratis",https://www.cnnindonesia.com/ekonomi/20250117142246-532-1188335/bos-badan-gizi-dipanggil-prabowo-ke-istana-evaluasi-makan-gratis
Political,Badan Gizi Nasional,January 2025,VIVA.co.id,22 Jan 2025,Badan Gizi Nasional Buka Suara Soal Permintaan Menu Western di Program Makan Bergizi Gratis,https://www.viva.co.id/gaya-hidup/kesehatan-intim/1791785-badan-gizi-nasional-buka-suara-soal-permintaan-menu-western-di-program-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,AJNN.net,17 Jan 2025,Membubarkan Badan Gizi Nasional,https://www.ajnn.net/news/membubarkan-badan-gizi-nasional/index.html
Political,Badan Gizi Nasional,January 2025,Inilah.com,15 Jan 2025,"Badan Gizi Nasional Monopoli Ompreng, Makan Bergizi Gratis Melenceng",https://www.inilah.com/badan-gizi-nasional-monopoli-ompreng-makan-bergizi-gratis-jadi-melenceng
Political,Badan Gizi Nasional,January 2025,detikFinance,17 Jan 2025,Bos BGN Sebut Potensi Tambahan Anggaran Makan Gratis Masuk September 2025,https://finance.detik.com/berita-ekonomi-bisnis/d-7737513/bos-bgn-sebut-potensi-tambahan-anggaran-makan-gratis-masuk-september-2025
Political,Badan Gizi Nasional,January 2025,Tribrata News,30 Jan 2025,[HOAKS] Link Rekrutmen Karyawan SPPI Badan Gizi Nasional,https://tribratanews.polri.go.id/blog/none-22/hoaks-link-rekrutmen-karyawan-sppi-badan-gizi-nasional-83537
Political,Badan Gizi Nasional,January 2025,Dinas Komunikasi dan Informatika Provinsi Jawa Timur,13 Jan 2025,"Dukung Program Makan Bergizi Gratis, Pemkot dan DPRD Surabaya Siapkan Anggaran Rp1 Triliun",https://kominfo.jatimprov.go.id/berita/dukung-program-makan-bergizi-gratis-pemkot-dan-dprd-surabaya-siapkan-anggaran-rp1-triliun
Political,Badan Gizi Nasional,January 2025,detikcom,13 Jan 2025,"Viral Keluhan Biaya Wadah Makan Bergizi Gratis, BGN Imbau Sekolah Tak Pungli",https://www.detik.com/sumbagsel/berita/d-7729805/viral-keluhan-biaya-wadah-makan-bergizi-gratis-bgn-imbau-sekolah-tak-pungli
Political,Badan Gizi Nasional,January 2025,Disway,21 Jan 2025,"Viral Siswa dapat Lengkuas di Menu Makan Bergizi Gratis, Badan Gizi Nasional: Harus Dimaklumi - disway.id",https://disway.id/read/850250/viral-siswa-dapat-lengkuas-di-menu-makan-bergizi-gratis-badan-gizi-nasional-harus-dimaklumi
