Model,Jml_Topik,Coherence_Cv,Coherence_NPMI,Diversity
IndoGovBERT,103,0.6565968525100059,0.13916535050747283,0.6194174757281553
IndoBERT,92,0.6530680193784024,0.13237133096639933,0.6467391304347826
Multilingual-MiniLM,102,0.6130531114605645,0.1104422341859876,0.6254901960784314
